Year,State,GeoFIPS,Avg Rent,Income per capita,Population,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
2021,NE,31000,1409.2670629810557,63185.69170493011,1137073,26.76429473106988,98.41945118285548,7.5080772392639314,0.4761117960631154
2015,NH,33000,1194.64955673605,54558,411330,26.27624671144947,NA,NA,NA
2016,NH,33000,1239.9810505784396,55974,414107,26.58336478890427,45.33149384238959,3.794543227073351,0.307118077454799
2017,NH,33000,1262.2171038857846,57847,416477,26.183907975572485,22.236053307344946,1.793257509618557,-0.39945681333178484
2018,NH,33000,1321.3551009475,60179,418261,26.348495673523985,59.137997061715396,4.685247639225991,0.1645876979515002
2019,NH,33000,1381.310703765477,63263,421513,26.201300041391846,59.955602817977024,4.537433031815963,-0.1471956321321386
2020,NH,33000,1444.0344131042807,67127,422705,25.81437120272226,62.7237093388037,4.540883464365966,-0.3869288386695864
2021,NH,33000,1590.2335943942458,76196.02084168153,873442,25.0443565450495,146.19918128996505,10.124355760724333,-0.7700146576727604
2015,NJ,34000,1761.66230899382,62919.95712507721,2829836,33.59815974747439,NA,NA,NA
2016,NJ,34000,1888.9051308608966,59835.635804222955,4677627,37.88187635290578,127.2428218670766,7.222883819303133,4.283716605431387
2017,NJ,34000,1919.103581323161,64560.838794746625,5221176,35.67060683503983,30.198450462264418,1.598727748095058,-2.2112695178659507
2018,NJ,34000,1931.5542729442964,66960.59866737263,5819031,34.615358489358364,12.45069162113532,0.6487764257388839,-1.0552483456814628
2019,NJ,34000,1993.2037855692035,70242.40048608626,5845876,34.051292753823596,61.649512624907175,3.191704912900735,-0.5640657355347685
2020,NJ,34000,2029.2667924218736,73241.45160814979,5856544,33.24784118062572,36.063006852670014,1.809298533033411,-0.8034515731978757
2021,NJ,34000,2117.605614873291,78627.82416702944,7123391,32.318416092118,88.3388224514174,4.3532384593938716,-0.9294250885077204
2015,NM,35000,902.6896647159617,39805.92481440784,812669,27.21272279716203,NA,NA,NA
2016,NM,35000,961.2751370156819,43267.795712633,966374,26.660248007088082,58.58547229972021,6.490101148787892,-0.5524747900739477
2017,NM,35000,1001.3835905285188,43951.74550125089,969714,27.340445639412042,40.10845351283683,4.172421814357455,0.68019763232396
2018,NM,35000,1042.7315071473085,45607.79524930161,972236,27.43561274420366,41.34791661878978,4.129078707687514,0.09516710479161716
2019,NM,35000,1102.9249538235551,48396.05555117267,976019,27.347475522851706,60.193446676246595,5.7726697873475645,-0.08813722135195334
2020,NM,35000,1161.066836037661,51944.65638739121,980776,26.82239714619406,58.14188221410586,5.271608191703617,-0.5250783766576461
2021,NM,35000,1311.2031517046519,55854.34312914962,980963,28.170482256095557,150.13631566699087,12.930893468575563,1.348085109901497
2015,NV,32000,1065.0334193759945,44631.19949050246,2525233,28.635575961232252,NA,NA,NA
2016,NV,32000,1124.1964294282297,45683.69970289442,2571813,29.52991382237818,59.16301005223522,5.555037896078319,0.8943378611459281
2017,NV,32000,1198.624411375972,47674.213458463324,2618397,30.170383301747467,74.42798194774218,6.620549576518092,0.6404694793692869
2018,NV,32000,1295.8211237291584,49969.340005996324,2668300,31.118789007187043,97.19671235318651,8.109021594313155,0.9484057054395763
2019,NV,32000,1421.8647198446158,52978.38228984177,2719332,32.20629981638186,126.04359611545738,9.726928648355786,1.0875108091948142
2020,NV,32000,1480.0718278654635,55700.256683089596,2760774,31.88649925876858,58.20710802084773,4.093716315516199,-0.3198005576132772
2021,NV,32000,1697.1416179398025,60552.90374240065,2811591,33.63290305930789,217.06979007433893,14.666165924352034,1.746403800539312
2015,NY,36000,1936.4076127729127,57965.44408767932,6768848,40.08748957072857,NA,NA,NA
2016,NY,36000,1831.5509920371403,57791.50249305988,7726449,38.03087124631354,-104.85662073577237,-5.41500766905264,-2.056618324415034
2017,NY,36000,2339.229165298413,61515.659288242365,9501577,45.63187700232644,507.67817326127283,27.718484250149565,7.601005756012903
2018,NY,36000,2803.5658678409345,63332.028296779936,9681773,53.121289999489484,464.3367025425214,19.84998774086704,7.489412997163043
2019,NY,36000,2949.5546732116563,66529.57724144417,9687047,53.20138432578375,145.98880537072182,5.207254341527201,0.08009432629426527
2020,NY,36000,3096.301632128347,70449.10271189682,10070479,52.74108278921437,146.7469589166908,4.975224234677559,-0.4603015365693821
2021,NY,36000,3028.480755605793,74879.72927370839,10101590,48.53352091382328,-67.82087652255404,-2.19038338574059,-4.207561875391086
2015,OH,39000,877.5545473321233,47015.16645186343,5619096,22.39842026033729,NA,NA,NA
2016,OH,39000,905.3913283171929,47801.43007244777,5639787,22.728809417081873,27.836780985069595,3.17208554951905,0.3303891567445838
2017,OH,39000,945.3619875550032,49477.54167586883,5895354,22.928269001272753,39.97065923781031,4.414738465863357,0.19945958419087972
2018,OH,39000,1001.3357796587272,51184.6835953876,6077876,23.475830095758425,55.97379210372401,5.92088457549361,0.5475610944856726
2019,OH,39000,1039.0612613887215,53098.8906740674,6095251,23.482100997552813,37.72548172999427,3.7675156022939458,0.006270901794387385
2020,OH,39000,1081.1325410616228,56648.25655674494,6098491,22.90201196173397,42.071279672901255,4.0489700883153255,-0.580089035818844
2021,OH,39000,1236.6504077198508,60659.3983513125,6985678,24.464147841844063,155.51786665822806,14.384717946378398,1.5621358801100946
2015,OK,40000,928.5548634683752,51353.02531519236,2033996,21.698153698306147,NA,NA,NA
2016,OK,40000,924.0082470787904,47750.17060399777,2054395,23.221066699219627,-4.546616389584756,-0.4896443461188769,1.52291300091348
2017,OK,40000,966.8942387276022,50082.44383480446,2064971,23.16726177141537,42.885991648811796,4.641299662031577,-0.05380492780425783
2018,OK,40000,991.565812881955,52476.77579302388,2079351,22.674391813845492,24.67157415435281,2.551631105674981,-0.4928699575698765
2019,OK,40000,1024.2878482889919,55210.88961504097,2099652,22.262735241490063,32.722035407036856,3.3000366674533974,-0.4116565723554295
2020,OK,40000,1099.367014865428,55913.79768705316,2203077,23.59418376877634,75.07916657643614,7.329889415543798,1.3314485272862768
2021,OK,40000,1228.2086323811466,59301.46886904995,2218869,24.853521961014927,128.84161751571855,11.719618268835351,1.2593381922385873
2015,OR,41000,1161.7169825588542,47470.49762678811,2225465,29.36687940435539,NA,NA,NA
2016,OR,41000,1201.9158493438495,49191.56933324664,2768340,29.320044852438286,40.19886678499529,3.4602977651623306,-0.046834551917104505
2017,OR,41000,1231.2154972485605,51491.732441285545,2804633,28.693122694657312,29.299647904711037,2.437745364678094,-0.6269221577809745
2018,OR,41000,1265.8770089828104,54417.43987147161,2826146,27.914808457862367,34.66151173424987,2.815227050967856,-0.7783142367949445
2019,OR,41000,1330.371304297897,56725.23679554952,2846616,28.14347996309693,64.49429531508667,5.094831082121538,0.22867150523456203
2020,OR,41000,1361.2111675956337,60480.007793172415,3085778,27.00815460706936,30.839863297736656,2.31813954481019,-1.1353253560275682
